ISDN,AMOUNT,MONTH_ACTIVE,AMOUNT_TOPUP_AVG_MONTH,AMOUNT_TOPUP_MONTH_CHECK,ARPU_EACH_MONTH,ARPU_AVG,STATUS
DGtw1gBD4RAUfb/Ia/+Q0Q==,30000,49.430704898,126667,270000,95592,95592,1
wh6QHB+W2MRzg9p0sJJ4MQ==,20000,63.729988052,96667,100000,88090,88090,0
MCnf3Een1WfmIV23w8Noxw==,30000,122.043608124,130000,120000,114460,114460,1
XNifUixkaoOL/guXsMM5jg==,15000,31.084826762,63333,50000,60634,60634,0
xdhL62u1JunzBTmxe1PQzw==,30000,85.568697729,116667,200000,119054,119054,0
9Rd9FKIqY/t8n8qNtODjrQ==,50000,53,276667,250000,273948,273948,1
oGZ2w3r5YncPnuGpj4So7w==,20000,32.342891278,135000,250000,86512,86512,0
XqJ9EhXqYEi+OG4GCgXM6g==,20000,108,80000,60000,78341,78341,0
m6jr2dHYBqANDL89RnP3QQ==,30000,74.697729988,130000,230000,130449,130449,0
ZQ6Dn+bWnfOWxFzRZYfL/A==,45000,55.075866188,233333,200000,217754,217754,1
ZDdMW2yfQD2hDSSo3ai7XA==,5000,41.600955794,30000,50000,23282,23282,0
U9AsMgCK4zb5bGfrqs8rrg==,15000,133.697729988,73333,60000,84532,84532,0
XHM62BzsYl0bhs0zYiKA3A==,20000,23.697729988,125000,150000,92073,92073,0
ckEdATCWjJG66Ed8gOoKcw==,20000,31.591995221,80000,120000,83397,83397,1
vMo5AzmAPLirW72Vo+GSJg==,25000,55.979091995,106667,50000,113513,113513,1
pd2I4Qn0WtTroHN1Hql9Jg==,15000,53.955794504,66667,50000,86994,86994,0
iciVrastDvnBSvAmLkzvuw==,10000,85.817801672,53333,50000,64350,64350,1
7bm5ph/fVkpBrsmnR+1ypA==,30000,82.665471923,116667,120000,169309,169309,0
8kx4TbMRMuCDVZCBjitSWg==,30000,150.568697729,133333,200000,115564,115564,0
n8Eb8j8uAnewT4oYRgbNoQ==,30000,25.407407407,133333,200000,122902,122902,0
RQdxxrXgvrMwD/Pwklh6xA==,50000,133.559737156,356667,370000,352851,352851,1
nek0Zdq/7Uw3jaXO65aDFw==,5000,30.891278375,33333,30000,32017,32017,0
J8vXvundYLk7hNSFysdtsg==,15000,27.471923536,66667,100000,51860,51860,0
gckOMYQJJiBsH887rDpTqg==,10000,131.471923536,60000,50000,48509,72764,0
f6aQ+SjF521yazOYYGAihw==,50000,162.269414575,400000,400000,413896,413896,1
eqgmm8W6XG+tJRTK52FXLQ==,40000,176.697729988,176667,180000,183527,183527,0
mzjYEeZUAwVZ4HPi3lIsxQ==,10000,58.117084826,40000,20000,39881,39881,0
C1Eh7MV2eGxt/512O0w6hA==,50000,78.762246117,366667,250000,363238,363238,0
nB9FOsdvi6LpU5avwEeYng==,10000,49.85902031,70000,100000,50634,75951,0
St9bDJsoDBUotxX9ivss0w==,50000,28.430704898,293333,230000,370283,370283,1
4Bb8Z7jdVnkqUH4TyKHWXg==,5000,139.5041816,16667,20000,16687,16687,0
5HU4dXgKhRBK0Z/beTT9UQ==,10000,63.762246117,80000,80000,44914,44914,0
